,poistion_rank,first_name,last_name,injuryr_status
135,PG8,jamal,murray,active
136,SG2,facundo,campazzo,active
137,SG4,bones,hyland,active
138,SG6,davon,reed,active
139,SG8,jamal,murray,active
140,SF1,aaron,gordon,injured
141,SF3,vlatko,cancar,active
142,SF5,jeff,green,active
143,SF7,bol,bol,active
144,SF9,rayjon,tucker,active
145,SF11,michael,porter-jr.,active
146,PF2,aaron,gordon,injured
147,PF4,zeke,nnaji,active
148,PF6,petr,cornelie,active
149,PF8,michael,porter-jr.,active
150,C2,jamychal,green,active
151,C4,jeff,green,active
152,C6,petr,cornelie,active
153,PG2,saben,lee,active
154,PG4,cade,cunningham,injured
155,PG6,frank,jackson,active
156,PG8,jaysean,paige,active
157,SG2,frank,jackson,active
158,SG4,hamidou,diallo,active
159,SG6,rodney,mcgruder,active
160,SG8,chris,smith,active
161,SF1,hamidou,diallo,active
162,SF3,josh,jackson,active
163,SF5,cade,cunningham,injured
164,SF7,isaiah,livers,active
165,SF9,jerami,grant,active
166,SF11,deividas,sirvydis,active
167,PF1,saddiq,bey,active
168,PF3,trey,lyles,active
169,PF5,isaiah,livers,active
170,PF7,kelly,olynyk,active
171,PF9,deividas,sirvydis,active
172,C2,trey,lyles,active
173,C4,kelly,olynyk,active
174,C6,micah,potter,active
